PX409-USBH - 466584,
Units:,psi
Custom Scalar:,none
Custom Offset:,none
Start:,20:20.6
End:,20:34.5
Count:,72
Low:,-0.092779957
High:,0.052937534
,
Time,Value
20:20.6,-0.050830748
20:20.8,-0.052773241
20:21.0,-0.051138636
20:21.2,-0.042665377
20:21.4,-0.026958872
20:21.6,-0.012727736
20:21.8,5.18E-05
20:22.0,0.007457681
20:22.1,0.001221758
20:22.3,0.00033054
20:22.5,-0.003764535
20:22.7,-0.005966666
20:22.9,-0.005631888
20:23.1,-0.011283335
20:23.3,-0.01203145
20:23.5,-0.012263057
20:23.7,-0.010083743
20:23.9,-0.006221416
20:24.1,0.000370635
20:24.3,0.004722741
20:24.5,0.00653745
20:24.7,0.008021456
20:24.9,0.015929148
20:25.1,0.026492402
20:25.3,0.036721695
20:25.5,0.047150154
20:25.7,0.052937534
20:25.9,0.045112807
20:26.1,0.034546621
20:26.3,0.020497702
20:26.5,-0.001867191
20:26.7,-0.010605468
20:26.8,-0.006612099
20:27.0,-0.004296038
20:27.2,0.001048013
20:27.4,0.003458932
20:27.6,-0.003001099
20:27.8,-0.004702205
20:28.0,-0.006051583
20:28.2,-0.010337027
20:28.4,-0.017534088
20:28.6,-0.040602274
20:28.8,-0.068552598
20:29.0,-0.092779957
20:29.2,-0.091706522
20:29.4,-0.072420143
20:29.6,-0.048294168
20:29.8,-0.025021434
20:30.0,-0.020762067
20:30.2,-0.023636688
20:30.4,-0.025390111
20:30.6,-0.025445852
20:30.8,-0.031648036
20:31.0,-0.033287697
20:31.2,-0.031884208
20:31.4,-0.041118946
20:31.6,-0.051030245
20:31.7,-0.057085577
20:31.9,-0.058922451
20:32.1,-0.058076058
20:32.3,-0.06016377
20:32.5,-0.065203197
20:32.7,-0.063869298
20:32.9,-0.061158653
20:33.1,-0.054351781
20:33.3,-0.049510714
20:33.5,-0.052137423
20:33.7,-0.046066608
20:33.9,-0.044244241
20:34.1,-0.036363769
20:34.3,-0.036160689
20:34.5,-0.035393827
